route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,bikes_allowed
4-10534,2020-COMBXMAS-Weekday-01,42650984-2020-COMBXMAS-Weekday-01,Tuggeranong,0,40404,1,1
9-10534,2020-COMBXMAS-Weekday-01,42650985-2020-COMBXMAS-Weekday-01,Watson,0,90180,1,1
4-10534,2020-COMBXMAS-Weekday-01,42650986-2020-COMBXMAS-Weekday-01,Tuggeranong,0,40404,1,0
4-10534,2020-COMBXMAS-Weekday-01,42650987-2020-COMBXMAS-Weekday-01,Tuggeranong,0,40404,1,1
9-10534,2020-COMBXMAS-Weekday-01,42650988-2020-COMBXMAS-Weekday-01,Watson,0,90180,1,1
8-10534,2020-COMBXMAS-Weekday-01,42650989-2020-COMBXMAS-Weekday-01,Gungahlin Place,1,80244,1,1
4-10534,2020-COMBXMAS-Weekday-01,42650990-2020-COMBXMAS-Weekday-01,Tuggeranong,0,40404,1,1
4-10534,2020-COMBXMAS-Weekday-01,42650991-2020-COMBXMAS-Weekday-01,Tuggeranong,0,40404,1,1
8-10534,2020-COMBXMAS-Weekday-01,42650992-2020-COMBXMAS-Weekday-01,Gungahlin Place,1,80244,1,1
9-10534,2020-COMBXMAS-Weekday-01,42650993-2020-COMBXMAS-Weekday-01,Watson,0,90180,1,1
4-10534,2020-COMBXMAS-Weekday-01,42650994-2020-COMBXMAS-Weekday-01,Tuggeranong,0,40404,1,1
9-10534,2020-COMBXMAS-Weekday-01,42650995-2020-COMBXMAS-Weekday-01,Watson,0,90180,1,1
8-10534,2020-COMBXMAS-Weekday-01,42650996-2020-COMBXMAS-Weekday-01,Gungahlin Place,1,80244,1,1
4-10534,2020-COMBXMAS-Weekday-01,42650997-2020-COMBXMAS-Weekday-01,Tuggeranong,0,40404,1,1
9-10534,2020-COMBXMAS-Weekday-01,42650998-2020-COMBXMAS-Weekday-01,Watson,0,90180,1,1
79-10534,2020-COMBXMAS-Weekday-01,42650999-2020-COMBXMAS-Weekday-01,Tuggeranong,0,790079,1,1
79-10534,2020-COMBXMAS-Weekday-01,42651000-2020-COMBXMAS-Weekday-01,Tuggeranong,0,790079,1,1
79-10534,2020-COMBXMAS-Weekday-01,42651001-2020-COMBXMAS-Weekday-01,Tuggeranong,0,790079,1,1
79-10534,2020-COMBXMAS-Weekday-01,42651002-2020-COMBXMAS-Weekday-01,Tuggeranong,0,790079,1,1
79-10534,2020-COMBXMAS-Weekday-01,42651003-2020-COMBXMAS-Weekday-01,Tuggeranong,0,790079,1,1
79-10534,2020-COMBXMAS-Weekday-01,42651004-2020-COMBXMAS-Weekday-01,Tuggeranong,0,790079,1,1
79-10534,2020-COMBXMAS-Weekday-01,42651005-2020-COMBXMAS-Weekday-01,Tuggeranong,0,790079,1,1
79-10534,2020-COMBXMAS-Weekday-01,42651006-2020-COMBXMAS-Weekday-01,Tuggeranong,0,790079,1,1
79-10534,2020-COMBXMAS-Weekday-01,42651007-2020-COMBXMAS-Weekday-01,Tuggeranong,0,790079,1,1
79-10534,2020-COMBXMAS-Weekday-01,42651008-2020-COMBXMAS-Weekday-01,Tuggeranong,0,790079,1,1
